index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed
213,4,120,1907,249.191,0.0253683
214,4,120,2001,360.5,0.0301218
215,4,120,1678,493.01,0.0419319
216,4,120,2247,166.611,0.0164603
217,4,120,2147,276.515,0.0251098
218,4,120,1975,391.018,0.0286588
219,4,120,1430,497.186,0.0293075
220,4,120,984,138.243,0.00733771
221,4,120,2684,247.477,0.0168665
222,4,120,2005,404.351,0.0234977
223,4,120,1055,443.084,0.0209105
224,4,140,248,140.438,0.0026447
225,4,140,567,302.513,0.0153411
226,4,140,594,362.556,0.0154385
227,4,140,767,425.09,0.0207882
228,4,140,816,168.37,0.0141925
229,4,140,1350,253.723,0.0186421
230,4,140,1213,313.8,0.0216429
231,4,140,543,407.674,0.0267079
232,4,140,1060,135.398,0.0124898
233,4,140,1763,280.08,0.0247421
234,4,140,1382,378.81,0.031265
235,4,140,1554,349.326,0.0410008
236,4,140,1205,107.458,0.00993098
237,4,140,2256,222.885,0.0322767
238,4,140,1609,471.484,0.0372742
239,4,140,1699,494.991,0.0557231
240,4,140,1854,96.8284,0.0117992
241,4,140,1108,212.667,0.0195749
242,4,140,2581,369.014,0.0388332
243,4,140,2342,453,0.056336
244,4,140,2787,150.366,0.0152144
245,4,140,3093,190.742,0.0223549
246,4,140,2477,327.408,0.0253478
247,4,140,2490,421.438,0.0401458
248,4,140,2342,149.088,0.012179
249,4,140,3312,192.773,0.0232391
250,4,140,1929,333.396,0.0247503
251,4,140,2371,528.815,0.0385108
252,4,160,1216,168.581,0.0140928
253,4,160,852,291.009,0.0277818
254,4,160,435,306.806,0.0204178
255,4,160,622,526.69,0.0431365
256,4,160,1588,128.631,0.0177816
257,4,160,1440,208.46,0.0206554
258,4,160,1697,372.84,0.0460814
259,4,160,1533,401.826,0.0476649
260,4,160,1194,277.295,0.0232362
261,4,160,2082,215.408,0.0384557
262,4,160,2177,369.968,0.0561818
263,4,160,1911,427.255,0.0793408
264,4,160,2218,119.349,0.0189008
265,4,160,2203,264.535,0.0261602
266,4,160,2843,358.881,0.0514321
267,4,160,3017,483.644,0.0755615
268,4,160,2992,157.875,0.0229628
269,4,160,1943,269.358,0.0243704
270,4,160,1122,349.614,0.0467983
271,4,160,2498,486.977,0.0759804
272,4,160,3325,108.82,0.0196193
273,4,160,3088,298.831,0.0475084
274,4,160,3698,296.367,0.0340934
275,4,160,2302,447.586,0.0380225
276,4,160,4312,105.808,0.0250768
277,4,160,3115,277.064,0.0269973
278,4,160,4435,389.137,0.0499504
279,4,160,2706,464.469,0.0509612
280,5,80,198,202.25,0.00176998
281,5,80,207,230,0.00267463
282,5,80,137,370.667,0.00238331
283,5,80,191,413.286,0.0046889
284,5,80,339,133.304,0.00484731
285,5,80,193,418.816,0.00688658
286,5,80,276,330.909,0.00464324
287,5,80,349,449.263,0.00748225
288,5,80,393,155.529,0.00404678
289,5,80,424,243.114,0.00522551
290,5,80,370,296.333,0.00749145
291,5,80,368,429.773,0.0100935
292,5,80,456,149.342,0.00395663
293,5,80,468,257.375,0.00537452
294,5,80,541,343.783,0.00715032
295,5,80,482,419.434,0.00938238
296,5,80,637,141.032,0.00518971
297,5,80,729,196.797,0.00634538
